Quote,DataAndInfo,KnowledgeAndPerspective,ProgramAndOrganization,Technology,CommunitiesAndPeople,Crossdisciplinarity,Research,Innovation,Other
q1,1,,1,1,,,,,
q2,1,1,,,,,1,,
q3,,,1,,1,,,,
q4,,,1,1,,,,,
q5,,,1,1,,,,,
q6,,,,,,,1,1,
q7,,,1,1,,,,,
q8,,,,,1,1,,,
q9,,,,1,,,,,1
q10,,,,1,,,,,1
q11,,1,,,1,,,,
q12,,,1,,,1,,,
q13,,1,1,,,,,,
q14,1,,1,,,,,,
q15,,,1,1,,,,,
q16,,,1,,,,1,1,
q17,,,,,,,,,1
q18,1,1,,,1,,,,
q19,,,1,,,,,,
q20,,,1,,1,,,,
q21,,,,,,,,,1
q22,,1,1,,,,,,
q23,,1,1,,,,,,
q24,,,1,,,,,,1
q25,,,1,,,,,,
q26,,1,1,,1,,,,
q27,,,1,,,,,,
q28,,,1,,1,,,,
q29,,1,1,,,,1,1,
q30,,,,,,1,,,
q31,1,,1,,,,,1,
q32,1,,1,1,,,,,
q33,,1, ,,,,1,1,
q34,,,1,,,,1,,
q35,,1,,1,,1,1,,
q36,,1,1,,1,,,,
q37,1,,,1,,,1,,
q38,,,1,,,,,,
q39,,,,,,,,,1
q40,,1,1,,,1,1,,
q41,1,,1,1,,,,,
q42,,1,,,1,,,,
q43,,1,1,,,,1,,
q44,,1,1,,1,,,,
q45,,1,1,,1,,,,
q46,,,,,,,,,1
q47,1,1,1,,1,,,,
q48,,,1,,1,,,,
q49,,,1,,,,,,
q50,1,,,1,,,1,,
q51,1,,,1,,,,,
q52,,,,1,,,,,1
q53,,1,,,,1,,,
q54,,,,,,1,1,1,
q55,1,,1,1,,,,1,
q56,1,,,1,,,,,
q57,,1,1,,,,,,
q58,,1,1,,1,,,,
q59,,,1,,,,,,
q60,,,1,,1,,,,
q61,,1,1,,,,,,
q62,,,1,,,,,,
q63,,1,,,1,,,,
q64,1,,1,1,,,1,1,
q65,1,,1,1,,,,,
q66,1,1,1,1,,,,,
q67,,,1,,1,1,1,,
q68,,,,,,,,,1
q69,,,1,,,,,,
q70,1,1,1,,1,,,,
q71,,1,,,,1,,,
q72,,1,,,,,,,
q73,1,,1,1,,,,,
q74,,1,1,,1,,,,
q75,,,1,,1,,,,
q76,,1,1,,,,,,
q77,,,1,,1,,,,
q78,,,1,,,,,1,
q79,,1,1,,,,,,
q80,,,1,,,,,,
q81,,,1,,,,,,
q82,,,1,,1,,,,
q83,,,1,,1,,,,
q84,,1,1,,1,,,,
q85,,1,1,,1,,,1,
q86,1,,1,,,,1,1,
q87,,1,1,,,,,,
q88,,,,,,,,,1
q89,1,,1,1,,,,,
q90,,1,,,,,,,
q91,,,1,,1,,,,
q92,1,,,1,,,,1,
q93,1,,,1,,,,1,
q94,,1,,1,,,,,
q95,1,,1,1,,,,,
q96,,,,,,,,,1
q97,,,,,,,,1,1
q98,,,,,,,,,1
q99,,,1,,,,,,
q100,,,1,,,,,,
q101,,,1,,1,,,,
q102,1,,1,1,1,,,,
q103,,,,,1,,,,1
q104,,,1,,1,,,1,
q105,,,1,,1,,,,
q106,,,,,,1,,,
q107,,,1,1,,,,,
q108,,,1,,,,,,
q109,,,,,,,,,1
q110,,,1,,1,,1,,1
q111,1,1,1,,1,,,,
q112,,,,,,,,,1
q113,,1,1,,1,,,,
q114,1,,,1,,,,,
q115,,,1,,,,,,
q116,,1,1,,1,,,,
q117,,,1,,1,,,,
q118,,,1,1,,,,,
q119,,1,1,,1,,,,
q120,,1,1,,,,,,
q121,,1,1,,,,,,
q122,,,1,,1,,,,
q123,,1,1,,1,,,,
q124,,,,,,,,,1
q125,,1,1,1,,,,,
q126,,,,,,,,,1
q127,,,,,,,,,1
q128,1,,1,1,,,,,1
q129,,,,,,,,,1
q130,,,,,,,,,1
q131,,,,,,,,,1
q132,,,,,,,,,1
q133,,,,,,,,,1
q134,,,1,,,,,1,
q135,,,,,1,,,,1
q136,1,,1,1,,,,,1
q137,,,,,,,,,1
q138,,1,1,,1,,,,
q139,,1,1,,1,,1,,
q140,,1,1,,1,,,,
q141,,,1,,,,,,
q142,,1,1,,1,,,,
q143,,,1,,,,,,
q144,,,1,,,,,,
q145,1,1,1,,1,,,,
q146,,,,,,1,1,,
q147,,1,,,,,,,
q148,,,1,,,,,,
q149,,1,,,1,,,,
q150,1,,,,,,,,
q151,1,,,,1,,,,
q152,,,1,,,,,,
q153,1,,1,1,,,,,
